,Computer Science,Product and Data Science,Behavioral,Vague/Invalid,Experience
0,0,1,0,0,Create a product for job seekers.
1,0,1,0,0,"Imagine you’re the PM for Zenefits and it doesn’t exist yet, how would you go about this?"
2,1,0,0,0,Data structure related questions such as stacks.
3,0,0,1,0,why i feel i am a good fit
4,0,0,1,0,The expectation of my role.
5,1,0,0,0,Simple producer-consumer multi threading problem.
6,0,0,0,1,Tree based questions.
7,1,0,0,0,General C++ concepts.
8,0,0,0,1,Puzzles.
9,1,0,0,0,Design a GMail system.
10,1,0,0,0,OS mostly concurrency part.
11,1,0,0,0,"Given a React app that displays some information and has a search bar, how would you fetch the data?"
12,,,,,How would you filter for the input?
13,0,0,0,1,How would you display the information?
14,0,0,1,0,The interview began with 2 of the SDR's and they focused their questions on me as a candidate and whether I would be a good culture fit.
15,0,0,0,1,The 2nd part of the interview the SDR lead went over my assignment and gave me positive feedback as well as some constructive criticism on how to improve the email I had written (something that I thought was extremely beneficial).
16,0,0,0,1,"Then she went on to ask questions about the contacts that I provided, and how I went about finding the contacts."
17,0,0,3,0,"What resources did I use to acquire the information, and why I chose the companies that I did."
18,0,0,1,0,The final part of the interview was with Sean the Manager (extremely nice) and he mainly asked about the management style that I tend to excel in.
19,0,0,1,0,What type of culture I work best in.
20,0,0,1,0,He also asked if I were to be offered the position if I had any reservations.
21,0,0,1,0,How soon could I start if I were offered the position.
22,0,0,1,0,What was your experience interviewing at Entelo?
23,0,0,0,1,What do I do to prepare for the interview?
24,0,0,0,1,I signed an NDA
25,0,0,0,1,I cannot give away the interview questions
26,0,0,0,1,Why are you looking for a job now?
27,0,0,3,0,"What past project worked on last 1 year , what have you learned new and exciting"
28,1,0,0,0,Discussion on specific past Project
29,0,0,0,1,Discussion on exciting past project
30,1,0,0,0,"Which sort to be used for in memory array, best case and worst case complexity. and why"
31,,,,,Sort Link-list via merge sort using recursive function.
32,,,,,How to replicate data from Primary to Secondary (DB) in un-reliable network. Write code at primary and secondary side
33,0,0,0,1,Consider single secondary as of now.
34,1,0,0,0,2 criteria : there should be no data loss and seq of data should be maintained.
35,1,0,0,0,"DS/Algo: Given an array of  +ve number, provide all the possible expression which can create number 24."
36,0,0,0,1,"Numbers can be used in any order, use math operator (+,-,*,/)."
37,,,,,"Example: [5,5,1,1]"
38,0,0,0,1,Expected Answer: (5 - (1/5)) * 5
39,0,0,1,0,What are your achievements in the past?
40,1,0,0,0,Given Single Node System which process 1/2 million request.
41,,,,,"Given ITask interface , Implement task manager which cancel tasks which are not completed in certain time."
42,1,0,0,0,Data structures
43,0,0,0,1,trees
44,1,0,0,1,queue
45,0,0,0,1,What is the one thing you'd want me to remember about you from this interview?
46,0,0,1,0,What is your greatest strength?
47,0,0,1,0,Questions related to previous experience.
48,0,0,3,0,How can I contribute to the operations with last experience?
49,0,0,3,0,What is on your resume?
50,0,0,0,1,What have I read in the past year
51,0,0,1,0,question très classiques: qu'est ce qui vous a intéressé dans cette offre?
52,0,0,3,0,What experience do you have?
53,0,0,3,0,What is the future goal for your career with NOV
54,0,0,0,1,Você já operou uma ponte rolante alguma vez?
55,0,0,0,1,Tem experiência?
56,1,0,0,0,technical question
57,0,0,0,1,processing about work GT
58,1,0,0,0,What do you know about BigQuery?
59,0,0,1,0,"If your college's report is different from yours,"
60,0,0,0,1,how to deal with that?
61,0,0,1,0,Give an example of a great sales win.
62,1,0,0,0,How do you draw and define the level of details for business processes?
63,1,2,0,0,"Create a entity management system with TS frontend and C# backend, providing real time updates."
64,0,0,0,1,Timeframe 2 hours.
65,1,2,0,0,How have you transformed and modernized data platform in your previous company?
66,0,0,3,0,what thing do you think will be the hardest part to adapt to about the role
67,0,0,3,0,Why are you interested in this position?
68,0,1,0,0,Do you have any particular interest in geolocation?
69,0,0,3,0,Do you have any relevant experience?
70,1,0,0,0,Cyber security concepts
71,1,0,0,0,Mitre attack framework
72,0,0,0,1,Do you have a BA
73,1,0,0,0,difference between ansible and terraform
74,0,0,0,1,what do you think about german culture?
75,0,0,0,1,Fale sobre voce
76,0,0,3,0,o que espera conseguir na Gerdau
77,0,1,0,0,What are the most important metrics in measuring success of a campaign?
78,0,1,0,0,The Hiring Manager asked very specific questions about my current role and how I function as a PMM.
79,0,0,0,1,It was a fun interview as I didn't have to answer hypothetical questions about the role or how I would fit into the company.
80,0,0,0,1,He wanted to understand my current knowledge and if my previous experience was a good fit for the role.
81,0,1,1,0,Tell me about a time you changed your strategy based on new data or information.
82,0,0,1,0,What is the expectation from this role in the long term
